ITEM|ITEM_DESC|CLASS|SUBCLASS|DEPARTAMENT|CREATION_DATE|LAST_UPDATE_DAY
10|AUDIFONO  X15 NEGRO|AUDIFONOS|AUDIFONOS|||
12|AUDIFONO  X15 BLANCO|AUDIFONOS|AUDIFONOS|||
20|AUDIFONO I12TWS NEGRO|AUDIFONOS|AUDIFONOS|||
21|AUDIFONO I12TWS ROSADO|AUDIFONOS|AUDIFONOS|||
22|AUDIFONO I12TWS BLANCO|AUDIFONOS|AUDIFONOS|||
23|AUDIFONO I12TWS AZUL|AUDIFONOS|AUDIFONOS|||
24|AUDIFONO I12TWS CELESTE|AUDIFONOS|AUDIFONOS|||
25|AUDIFONO I12TWS ROJO|AUDIFONOS|AUDIFONOS|||
26|AUDIFONO I12TWS VERDE|AUDIFONOS|AUDIFONOS|||
27|AUDIFONO I12TWS MORADO|AUDIFONOS|AUDIFONOS|||
28|AUDIFONO I12TWS GRIS|AUDIFONOS|AUDIFONOS|||
29|AUDIFONO I12TWS AMARILLO|AUDIFONOS|AUDIFONOS|||
30|D18 SMART WATCH NEGRO|SMART WATCH|SMART WATCH|||
31|D18 SMART WATCH ROSADO|SMART WATCH|SMART WATCH|||
33|D18 SMART WATCH AZUL|SMART WATCH|SMART WATCH|||
35|D18 SMART WATCH ROJO|SMART WATCH|SMART WATCH|||
36|D18 SMART WATCH VERDE|SMART WATCH|SMART WATCH|||
37|D18 SMART WATCH MORADO|SMART WATCH|SMART WATCH|||
40|D20 SMART WATCH NEGRO|SMART WATCH|SMART WATCH|||
41|D20 SMART WATCH ROSADO|SMART WATCH|SMART WATCH|||
42|D20 SMART WATCH BLANCO|SMART WATCH|SMART WATCH|||
50|F9 PRO NEGRO|AUDIFONOS|AUDIFONOS|||
51|F9 PRO ROSADO|AUDIFONOS|AUDIFONOS|||
52|F9 PRO BLANCO|AUDIFONOS|AUDIFONOS|||
53|F9 PRO AZUL|AUDIFONOS|AUDIFONOS|||
54|F9 PRO CELESTE|AUDIFONOS|AUDIFONOS|||
60|M28 GAMING|AUDIFONOS|AUDIFONOS|||
70|N76 SMART WATCH NEGRO|SMART WATCH|SMART WATCH|||
71|N76 SMART WATCH ROSADO|SMART WATCH|SMART WATCH|||
72|N76 SMART WATCH BLANCO|SMART WATCH|SMART WATCH|||
80|W37 SMART WATCH NEGRO|SMART WATCH|SMART WATCH|||
81|W37 SMART WATCH ROSADO|SMART WATCH|SMART WATCH|||
82|W37 SMART WATCH BLANCO|SMART WATCH|SMART WATCH|||
90|T500+PRO SMART WATCH NEGRO|SMART WATCH|SMART WATCH|||
91|T500+PRO SMART WATCH ROSADO|SMART WATCH|SMART WATCH|||
92|T500+PRO SMART WATCH BLANCO|SMART WATCH|SMART WATCH|||
93|T500+PRO SMART WATCH AZUL|SMART WATCH|SMART WATCH|||
96|T500+PRO SMART WATCH VERDE|SMART WATCH|SMART WATCH|||
110|W26+PRO SMART WATCH NEGRO|SMART WATCH|SMART WATCH|||
111|W26+PRO SMART WATCH ROSADO|SMART WATCH|SMART WATCH|||
112|W26+PRO SMART WATCH BLANCO|SMART WATCH|SMART WATCH|||
113|W26+PRO SMART WATCH AZUL|SMART WATCH|SMART WATCH|||
115|W26+PRO SMART WATCH ROJO|SMART WATCH|SMART WATCH|||
120|i13 TWS NEGRO|AUDIFONOS|AUDIFONOS|||
121|i13 TWS ROSADO|AUDIFONOS|AUDIFONOS|||
122|i13 TWS BLANCO|AUDIFONOS|AUDIFONOS|||
124|i13 TWS CELESTE|AUDIFONOS|AUDIFONOS|||
130|AIR PRO 5 BLANCO|AUDIFONOS|AUDIFONOS|||
140|AIR PRO 5 NEGRO|AUDIFONOS|AUDIFONOS|||
150|119 PLUS SMARTWATCH NEGRO|SMART WATCH|SMART WATCH|||
153|119 PLUS SMARTWATCH AZUL|SMART WATCH|SMART WATCH|||
155|119 PLUS SMARTWATCH ROJO|SMART WATCH|SMART WATCH|||
156|119 PLUS SMARTWATCH VERDE|SMART WATCH|SMART WATCH|||
158|119 PLUS SMARTWATCH GRIS|SMART WATCH|SMART WATCH|||
160|COVER CON BOLSITA|CELULAR|CELULAR|||
170|ENVIO 1.50|AUDIFONOS|AUDIFONOS|||
171|ENVIO 2.0|AUDIFONOS|AUDIFONOS|||
172|ENVIO 2.50|AUDIFONOS|AUDIFONOS|||
173|ENVIO 3.0|AUDIFONOS|AUDIFONOS|||
174|ENVIO 3.50|AUDIFONOS|AUDIFONOS|||
175|ENVIO 4.0|AUDIFONOS|AUDIFONOS|||
176|ENVIO 4.50|AUDIFONOS|AUDIFONOS|||
177|ENVIO 5.0|AUDIFONOS|AUDIFONOS|||
180|RECARGO 5%|ENVIOS|ENVIOS|||
190|COMBO D20 + i12 NEGRO|OTROS|OTROS|||
191|COMBO D20 + i12 ROSADO|OTROS|OTROS|||
192|COMBO D20 + i12 BLANCO|OTROS|OTROS|||
193|COMBO D20 + i12 AZUL|OTROS|OTROS|||
200|COMBO D20 + i13 NEGRO|OTROS|OTROS|||
201|COMBO D20 + i13 ROSADO|OTROS|OTROS|||
202|COMBO D20 + i13 BLANCO|OTROS|OTROS|||
203|COMBO D20 + i13 AZUL|OTROS|OTROS|||
210|COMBO D20 + F9 NEGRO|OTROS|OTROS|||
211|COMBO D20 + F9 ROSADO|OTROS|OTROS|||
212|COMBO D20 + F9 BLANCO|OTROS|OTROS|||
213|COMBO D20 + F9 AZUL|OTROS|OTROS|||
220|COMBO D20 + X15 NEGRO|OTROS|OTROS|||
221|COMBO D20 + X15 ROSADO|OTROS|OTROS|||
222|COMBO D20 + X15 BLANCO|OTROS|OTROS|||
223|COMBO D20 + X15 AZUL|OTROS|OTROS|||
230|COMBO D18 + i12 NEGRO|OTROS|OTROS|||
231|COMBO D18 + i12 ROSADO|OTROS|OTROS|||
