store|cash_machine|business_date|item|quantity|unit_prince|line_amount|tran_seq_no|line_seq_no
1001|1|13/01/2022 15:23:04|172|1|2.50|2.50|68|1
1001|1|13/01/2022 15:23:04|190|1|21.00|21.00|69|1
1001|1|13/01/2022 15:27:45|42|1|9.00|9.00|70|2
1001|1|13/01/2022 15:27:45|173|1|7.50|7.50|71|2
1001|1|13/01/2022 15:27:45|41|1|9.00|9.00|72|2
1001|1|13/01/2022 15:27:45|40|3|11.07|33.21|73|2
1001|1|13/01/2022 15:29:38|270|1|38.00|38.00|74|3
1001|1|13/01/2022 15:33:12|190|1|21.00|21.00|75|4
1001|1|13/01/2022 15:34:50|270|1|38.00|38.00|76|5
1001|1|13/01/2022 15:36:22|50|2|10.59|21.19|77|6
1001|1|13/01/2022 15:36:22|51|1|9.50|9.50|78|6
1001|1|13/01/2022 15:39:39|90|1|30.00|30.00|79|7
1001|1|13/01/2022 15:39:39|20|1|10.00|10.00|80|7
1001|1|13/01/2022 15:39:39|310|1|-5.58|-5.58|81|7
1001|1|13/01/2022 15:39:39|172|1|2.50|2.50|82|7
1001|1|13/01/2022 15:45:24|171|1|2.00|2.00|83|8
1001|1|13/01/2022 15:45:24|270|1|38.00|38.00|84|8
1001|1|13/01/2022 16:00:57|36|1|9.00|9.00|85|9
1001|1|13/01/2022 16:00:57|30|5|13.14|65.71|86|9
1001|1|13/01/2022 16:00:57|41|10|18.32|183.19|87|9
1001|1|13/01/2022 16:00:57|20|10|13.23|132.30|88|9
1001|1|13/01/2022 16:00:57|174|1|3.50|3.50|89|9
1001|1|13/01/2022 16:00:57|40|10|18.32|183.19|90|9
1001|1|13/01/2022 16:00:57|21|10|13.23|132.30|91|9
1001|1|13/01/2022 16:00:57|35|1|9.00|9.00|92|9
1001|1|13/01/2022 16:00:57|37|3|11.07|33.21|93|9
1001|1|13/01/2022 16:00:57|33|5|13.14|65.71|94|9
1001|1|13/01/2022 16:03:30|42|2|10.04|20.07|95|10
1001|1|13/01/2022 16:03:30|40|2|10.04|20.07|96|10
1001|1|13/01/2022 16:03:30|174|1|3.50|3.50|97|10
1001|1|13/01/2022 16:03:30|41|2|10.04|20.07|98|10
1001|1|13/01/2022 16:05:02|173|1|3.00|3.00|99|11
1001|1|13/01/2022 16:05:02|21|5|10.22|51.11|100|11
1001|1|13/01/2022 16:05:02|20|1|7.00|7.00|101|11
1001|1|13/01/2022 16:08:48|40|17|26.99|458.77|102|12
1001|1|13/01/2022 16:08:48|30|1|9.50|9.50|103|12
1001|1|13/01/2022 16:08:48|33|1|9.50|9.50|104|12
1001|1|13/01/2022 16:08:48|172|1|2.50|2.50|105|12
1001|1|13/01/2022 16:08:48|35|1|9.50|9.50|106|12
1001|1|13/01/2022 16:08:48|310|1|-22.30|-22.30|107|12
1001|1|13/01/2022 16:08:48|37|1|9.50|9.50|108|12
1001|1|13/01/2022 16:08:48|41|12|21.52|258.27|109|12
1001|1|13/01/2022 16:08:48|42|6|14.96|89.79|110|12
1001|1|13/01/2022 16:08:48|36|1|9.50|9.50|111|12
1001|1|13/01/2022 16:09:57|273|1|38.00|38.00|112|13
1001|1|13/01/2022 16:12:50|22|1|10.00|10.00|113|14
1001|1|13/01/2022 16:12:50|310|1|-7.25|-7.25|114|14
1001|1|13/01/2022 16:12:50|113|1|34.50|34.50|115|14
1001|1|13/01/2022 16:14:52|271|1|38.00|38.00|116|15
1001|1|13/01/2022 16:42:54|70|1|33.50|33.50|117|20
1001|1|13/01/2022 16:42:54|310|1|-0.56|-0.56|118|20
1001|1|13/01/2022 16:42:54|170|1|1.50|1.50|119|20
1001|1|13/01/2022 16:42:54|110|1|27.00|27.00|120|20
1001|1|13/01/2022 16:42:54|91|1|23.50|23.50|121|20
1001|1|13/01/2022 16:42:54|122|1|8.00|8.00|122|20
1001|1|13/01/2022 16:42:54|12|1|9.50|9.50|123|20
1001|1|13/01/2022 16:43:27|190|1|21.00|21.00|124|21
1001|1|13/01/2022 16:52:40|12|1|9.50|9.50|125|22
1001|1|13/01/2022 16:52:40|24|1|7.00|7.00|126|22
1001|1|13/01/2022 16:52:40|122|1|8.00|8.00|127|22
1001|1|13/01/2022 16:52:40|140|1|15.00|15.00|128|22
1001|1|13/01/2022 16:52:40|20|1|7.00|7.00|129|22
1001|1|13/01/2022 16:52:40|25|1|7.00|7.00|130|22
1001|1|13/01/2022 16:52:40|121|1|8.00|8.00|131|22
1001|1|13/01/2022 16:52:40|310|1|-0.56|-0.56|132|22
1001|1|13/01/2022 16:52:40|22|1|7.00|7.00|133|22
1001|1|13/01/2022 16:52:40|120|1|8.00|8.00|134|22
1001|1|13/01/2022 16:52:40|31|2|10.59|21.19|135|22
1001|1|13/01/2022 16:52:40|23|1|7.00|7.00|136|22
1001|1|13/01/2022 16:52:40|30|7|16.06|112.40|137|22
1001|1|13/01/2022 16:52:40|177|1|5.00|5.00|138|22
1001|1|13/01/2022 16:52:40|21|1|7.00|7.00|139|22
1001|1|13/01/2022 16:52:40|53|1|9.50|9.50|140|22
1001|1|13/01/2022 16:52:40|42|2|10.59|21.19|141|22
