store|cash_machine|business_date|tender_name|tender_amount|tran_seq_no|tender_seq_no
 10002|1|2022/02/01 00:00:00.000|EFECTIVO                                                                                  |53.5| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|EFECTIVO                                                                                  |23| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|EFECTIVO                                                                                  |22.5| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|DELIVERY HECTOR                                                                           |53.5| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|DELIVERY HECTOR                                                                           |23| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|DELIVERY HECTOR                                                                           |22.5| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|DELIVERY EMERGENCIAS                                                                      |53.5| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|DELIVERY EMERGENCIAS                                                                      |23| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|DELIVERY EMERGENCIAS                                                                      |22.5| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|BANCO AGRICOLA                                                                            |53.5| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|BANCO AGRICOLA                                                                            |23| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|BANCO AGRICOLA                                                                            |22.5| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|OTROS DELIVERY                                                                            |53.5| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|OTROS DELIVERY                                                                            |23| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|OTROS DELIVERY                                                                            |22.5| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|Q100.00                                                                                   |53.5| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|Q100.00                                                                                   |23| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|Q100.00                                                                                   |22.5| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|BAC                                                                                       |53.5| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|BAC                                                                                       |23| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|BAC                                                                                       |22.5| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|CHEQUES                                                                                   |53.5| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|CHEQUES                                                                                   |23| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|CHEQUES                                                                                   |22.5| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|EBT                                                                                       |53.5| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|EBT                                                                                       |23| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|EBT                                                                                       |22.5| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|Q200.00                                                                                   |53.5| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|Q200.00                                                                                   |23| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|Q200.00                                                                                   |22.5| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|DESCUENTO                                                                                 |53.5| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|DESCUENTO                                                                                 |23| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|DESCUENTO                                                                                 |22.5| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|TARJETA                                                                                   |53.5| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|TARJETA                                                                                   |23| 00000| 00000
 10002|1|2022/02/01 00:00:00.000|TARJETA                                                                                   |22.5| 00000| 00000
