store|cash_machine|business_date|tender_name|tender_amount|tran_seq_no|tender_seq_no
 10002|1|01/02/2022|EFECTIVO                                                                                  |22.5| 00164| 00110
 10002|1|01/02/2022|EFECTIVO                                                                                  |22.5| 00163| 00109
 10002|1|01/02/2022|EFECTIVO                                                                                  |22.5| 00162| 00108
 10002|1|01/02/2022|EFECTIVO                                                                                  |23| 00164| 00110
 10002|1|01/02/2022|EFECTIVO                                                                                  |23| 00163| 00109
 10002|1|01/02/2022|EFECTIVO                                                                                  |23| 00162| 00108
 10002|1|01/02/2022|EFECTIVO                                                                                  |53.5| 00164| 00110
 10002|1|01/02/2022|EFECTIVO                                                                                  |53.5| 00163| 00109
 10002|1|01/02/2022|EFECTIVO                                                                                  |53.5| 00162| 00108
 10002|1|01/02/2022|DELIVERY HECTOR                                                                           |22.5| 00164| 00110
 10002|1|01/02/2022|DELIVERY HECTOR                                                                           |22.5| 00163| 00109
 10002|1|01/02/2022|DELIVERY HECTOR                                                                           |22.5| 00162| 00108
 10002|1|01/02/2022|DELIVERY HECTOR                                                                           |23| 00164| 00110
 10002|1|01/02/2022|DELIVERY HECTOR                                                                           |23| 00163| 00109
 10002|1|01/02/2022|DELIVERY HECTOR                                                                           |23| 00162| 00108
 10002|1|01/02/2022|DELIVERY HECTOR                                                                           |53.5| 00164| 00110
 10002|1|01/02/2022|DELIVERY HECTOR                                                                           |53.5| 00163| 00109
 10002|1|01/02/2022|DELIVERY HECTOR                                                                           |53.5| 00162| 00108
 10002|1|01/02/2022|DELIVERY EMERGENCIAS                                                                      |22.5| 00164| 00110
 10002|1|01/02/2022|DELIVERY EMERGENCIAS                                                                      |22.5| 00163| 00109
 10002|1|01/02/2022|DELIVERY EMERGENCIAS                                                                      |22.5| 00162| 00108
 10002|1|01/02/2022|DELIVERY EMERGENCIAS                                                                      |23| 00164| 00110
 10002|1|01/02/2022|DELIVERY EMERGENCIAS                                                                      |23| 00163| 00109
 10002|1|01/02/2022|DELIVERY EMERGENCIAS                                                                      |23| 00162| 00108
 10002|1|01/02/2022|DELIVERY EMERGENCIAS                                                                      |53.5| 00164| 00110
 10002|1|01/02/2022|DELIVERY EMERGENCIAS                                                                      |53.5| 00163| 00109
 10002|1|01/02/2022|DELIVERY EMERGENCIAS                                                                      |53.5| 00162| 00108
 10002|1|01/02/2022|BANCO AGRICOLA                                                                            |22.5| 00164| 00110
 10002|1|01/02/2022|BANCO AGRICOLA                                                                            |22.5| 00163| 00109
 10002|1|01/02/2022|BANCO AGRICOLA                                                                            |22.5| 00162| 00108
 10002|1|01/02/2022|BANCO AGRICOLA                                                                            |23| 00164| 00110
 10002|1|01/02/2022|BANCO AGRICOLA                                                                            |23| 00163| 00109
 10002|1|01/02/2022|BANCO AGRICOLA                                                                            |23| 00162| 00108
 10002|1|01/02/2022|BANCO AGRICOLA                                                                            |53.5| 00164| 00110
 10002|1|01/02/2022|BANCO AGRICOLA                                                                            |53.5| 00163| 00109
 10002|1|01/02/2022|BANCO AGRICOLA                                                                            |53.5| 00162| 00108
 10002|1|01/02/2022|OTROS DELIVERY                                                                            |22.5| 00164| 00110
 10002|1|01/02/2022|OTROS DELIVERY                                                                            |22.5| 00163| 00109
 10002|1|01/02/2022|OTROS DELIVERY                                                                            |22.5| 00162| 00108
 10002|1|01/02/2022|OTROS DELIVERY                                                                            |23| 00164| 00110
 10002|1|01/02/2022|OTROS DELIVERY                                                                            |23| 00163| 00109
 10002|1|01/02/2022|OTROS DELIVERY                                                                            |23| 00162| 00108
 10002|1|01/02/2022|OTROS DELIVERY                                                                            |53.5| 00164| 00110
 10002|1|01/02/2022|OTROS DELIVERY                                                                            |53.5| 00163| 00109
 10002|1|01/02/2022|OTROS DELIVERY                                                                            |53.5| 00162| 00108
 10002|1|01/02/2022|Q100.00                                                                                   |22.5| 00164| 00110
 10002|1|01/02/2022|Q100.00                                                                                   |22.5| 00163| 00109
 10002|1|01/02/2022|Q100.00                                                                                   |22.5| 00162| 00108
 10002|1|01/02/2022|Q100.00                                                                                   |23| 00164| 00110
 10002|1|01/02/2022|Q100.00                                                                                   |23| 00163| 00109
 10002|1|01/02/2022|Q100.00                                                                                   |23| 00162| 00108
 10002|1|01/02/2022|Q100.00                                                                                   |53.5| 00164| 00110
 10002|1|01/02/2022|Q100.00                                                                                   |53.5| 00163| 00109
 10002|1|01/02/2022|Q100.00                                                                                   |53.5| 00162| 00108
 10002|1|01/02/2022|BAC                                                                                       |22.5| 00164| 00110
 10002|1|01/02/2022|BAC                                                                                       |22.5| 00163| 00109
 10002|1|01/02/2022|BAC                                                                                       |22.5| 00162| 00108
 10002|1|01/02/2022|BAC                                                                                       |23| 00164| 00110
 10002|1|01/02/2022|BAC                                                                                       |23| 00163| 00109
 10002|1|01/02/2022|BAC                                                                                       |23| 00162| 00108
 10002|1|01/02/2022|BAC                                                                                       |53.5| 00164| 00110
 10002|1|01/02/2022|BAC                                                                                       |53.5| 00163| 00109
 10002|1|01/02/2022|BAC                                                                                       |53.5| 00162| 00108
 10002|1|01/02/2022|CHEQUES                                                                                   |22.5| 00164| 00110
 10002|1|01/02/2022|CHEQUES                                                                                   |22.5| 00163| 00109
 10002|1|01/02/2022|CHEQUES                                                                                   |22.5| 00162| 00108
 10002|1|01/02/2022|CHEQUES                                                                                   |23| 00164| 00110
 10002|1|01/02/2022|CHEQUES                                                                                   |23| 00163| 00109
 10002|1|01/02/2022|CHEQUES                                                                                   |23| 00162| 00108
 10002|1|01/02/2022|CHEQUES                                                                                   |53.5| 00164| 00110
 10002|1|01/02/2022|CHEQUES                                                                                   |53.5| 00163| 00109
 10002|1|01/02/2022|CHEQUES                                                                                   |53.5| 00162| 00108
 10002|1|01/02/2022|EBT                                                                                       |22.5| 00164| 00110
 10002|1|01/02/2022|EBT                                                                                       |22.5| 00163| 00109
 10002|1|01/02/2022|EBT                                                                                       |22.5| 00162| 00108
 10002|1|01/02/2022|EBT                                                                                       |23| 00164| 00110
 10002|1|01/02/2022|EBT                                                                                       |23| 00163| 00109
 10002|1|01/02/2022|EBT                                                                                       |23| 00162| 00108
 10002|1|01/02/2022|EBT                                                                                       |53.5| 00164| 00110
 10002|1|01/02/2022|EBT                                                                                       |53.5| 00163| 00109
 10002|1|01/02/2022|EBT                                                                                       |53.5| 00162| 00108
 10002|1|01/02/2022|Q200.00                                                                                   |22.5| 00164| 00110
 10002|1|01/02/2022|Q200.00                                                                                   |22.5| 00163| 00109
 10002|1|01/02/2022|Q200.00                                                                                   |22.5| 00162| 00108
 10002|1|01/02/2022|Q200.00                                                                                   |23| 00164| 00110
 10002|1|01/02/2022|Q200.00                                                                                   |23| 00163| 00109
 10002|1|01/02/2022|Q200.00                                                                                   |23| 00162| 00108
 10002|1|01/02/2022|Q200.00                                                                                   |53.5| 00164| 00110
 10002|1|01/02/2022|Q200.00                                                                                   |53.5| 00163| 00109
 10002|1|01/02/2022|Q200.00                                                                                   |53.5| 00162| 00108
 10002|1|01/02/2022|DESCUENTO                                                                                 |22.5| 00164| 00110
 10002|1|01/02/2022|DESCUENTO                                                                                 |22.5| 00163| 00109
 10002|1|01/02/2022|DESCUENTO                                                                                 |22.5| 00162| 00108
 10002|1|01/02/2022|DESCUENTO                                                                                 |23| 00164| 00110
 10002|1|01/02/2022|DESCUENTO                                                                                 |23| 00163| 00109
